tool,rule_id,name,category,kind,cwes,severity,file,line,message
CodeQL,py/command-line-injection,py/command-line-injection,Command Injection,security,CWE-78;CWE-88,High,introduction/mitre.py,233,This command line depends on a [user-provided value](1).
CodeQL,py/command-line-injection,py/command-line-injection,Command Injection,security,CWE-78;CWE-88,High,introduction/views.py,431,This command line depends on a [user-provided value](1).
CodeQL,py/insecure-cookie,py/insecure-cookie,Cookie Security,security,CWE-614,Medium,introduction/views.py,291,Cookie is added to response without the 'secure' flag being set.
CodeQL,py/insecure-cookie,py/insecure-cookie,Cookie Security,security,CWE-614,Medium,introduction/views.py,305,Cookie is added to response without the 'secure' flag being set.
CodeQL,py/insecure-cookie,py/insecure-cookie,Cookie Security,security,CWE-614,Medium,introduction/views.py,319,Cookie is added to response without the 'secure' flag being set.
CodeQL,py/client-exposed-cookie,py/client-exposed-cookie,Cookie Security,security,CWE-1004,Medium,introduction/views.py,291,Sensitive server cookie is set without HttpOnly flag.
CodeQL,py/client-exposed-cookie,py/client-exposed-cookie,Cookie Security,security,CWE-1004,Medium,introduction/views.py,305,Sensitive server cookie is set without HttpOnly flag.
CodeQL,py/client-exposed-cookie,py/client-exposed-cookie,Cookie Security,security,CWE-1004,Medium,introduction/views.py,319,Sensitive server cookie is set without HttpOnly flag.
CodeQL,py/unsafe-deserialization,py/unsafe-deserialization,Insecure Deserialization,security,CWE-502,High,dockerized_labs/insec_des_lab/main.py,36,Unsafe deserialization depends on a [user-provided value](1).
CodeQL,py/unsafe-deserialization,py/unsafe-deserialization,Insecure Deserialization,security,CWE-502,High,introduction/views.py,214,Unsafe deserialization depends on a [user-provided value](1).
CodeQL,py/unsafe-deserialization,py/unsafe-deserialization,Insecure Deserialization,security,CWE-502,High,introduction/views.py,560,Unsafe deserialization depends on a [user-provided value](1).
CodeQL,py/xxe,py/xxe,XXE,security,CWE-611;CWE-827,High,introduction/views.py,260,XML parsing depends on a [user-provided value](1) without guarding against external entity expansion.
CodeQL,py/cookie-injection,py/cookie-injection,Framework Misconfiguration,security,CWE-20,Medium,dockerized_labs/broken_auth_lab/app.py,49,Cookie is constructed from a [user-supplied input](1).
CodeQL,py/cookie-injection,py/cookie-injection,Framework Misconfiguration,security,CWE-20,Medium,dockerized_labs/broken_auth_lab/app.py,51,Cookie is constructed from a [user-supplied input](1).
CodeQL,py/clear-text-storage-sensitive-data,py/clear-text-storage-sensitive-data,Sensitive Data Exposure,security,CWE-312;CWE-315;CWE-359,High,introduction/playground/A9/archive.py,49,This expression stores [sensitive data (password)](1) as clear text.
